SN,Pers1_id,pay5_2,pay5_3a,pay5_3aOther,pay5_3b__0,pay5_4,pay5_5,pay5_6
7275,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6271,Friend,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9288,Friend,Urban community, , ,Katavi,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
1861,Other family member,Urban community, , ,Lindi,Fortnightly,Through mobile phone using the same network,Hospital/medical expenses
2547,Other family member,Urban community, , ,Mbeya,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
9162,Other family member,Urban community, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4279,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4762,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2135,Other family member,Urban community, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
595,Other family member,Urban community, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4776,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1191,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
32,Other family member,Urban community, , ,Tabora,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
5376,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1194,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5383,Other family member,Rural village, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
7461,Other family member,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8427,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4299,Other family member,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4305,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4317,Other family member,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7895,Other family member,Urban community, , ,Pwani,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4815,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6661,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6173,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7145,Other family member,Rural village, , ,Morogoro,When you can,Through mobile phone using the same network,Hospital/medical expenses
4820,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8548,Other family member,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1708,Other family member,Rural village, , ,Singida,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
9500,Other family member,Rural village, , ,Songwe,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4339,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1713,Other family member,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
916,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
185,Other family member,Rural village, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8799,Other family member,Rural village, , ,Mara,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
9242,Other family member,Urban community, , ,Tabora,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1533,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9182,Other family member,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1957,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
5118,Other family member,Rural village, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7176,Other family member,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3061,Other family member,Urban community, , ,Simiyu,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
3062,Other family member,Urban community, , ,Tabora,When you can,Through mobile phone using the same network,Hospital/medical expenses
9506,Other family member,Urban community, , ,Songwe,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
5694,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
8836,Other family member,Urban community, , ,Geita,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
1546,Other family member,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1740,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
5270,Other family member,Urban community, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
2223,Other family member,Urban community, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5462,Other family member,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1749,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9052,Other family member,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2230,Other family member,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7194,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
3097,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4915,Other family member,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2845,Other family member,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7197,Other family member,Urban community, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
997,Other family member,Urban community, , ,Iringa,When you can,Through mobile phone using the same network,Hospital/medical expenses
998,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
7668,Other family member,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone using the same network,Hospital/medical expenses
4652,Other family member,Rural village, , ,Mara,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
3372,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
9452,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7064,Other family member,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
7714,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1362,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7227,Other family member,Rural village, , ,Morogoro,When you can,Through mobile phone using the same network,Hospital/medical expenses
7231,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3404,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1383,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5769,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4693,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9277,Other family member,Urban community, , ,Katavi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6455,Other family member,Urban community, , ,Tanga,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
3192,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
5773,Other family member,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6106,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2683,Other family member,Urban community, , ,Iringa,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
3195,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
7924,Other family member,Urban community, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
9211,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3201,Other family member,Rural village, , ,Tabora,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8623,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9213,Other family member,Urban community, , ,Njombe,When you can,Through mobile phone using the same network,Hospital/medical expenses
4714,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1098,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
3736,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
5339,Other family member,Urban community, , ,Tabora,When you can,Through mobile phone using the same network,Hospital/medical expenses
1101,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8635,Other family member,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3432,Other family member,Urban community, , ,Rukwa,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6271,Other family member,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8014,Other family member,Rural village, , ,Lindi,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
1442,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2709,Other family member,Rural village, , ,Mbeya,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
9288,Other family member,Rural village, , ,Katavi,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
5199,Other family member,Urban community, , ,Iringa,When you can,Through mobile phone using the same network,Hospital/medical expenses
2718,Other family member,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8981,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8983,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8021,Other family member,Rural village, , ,Lindi,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
1855,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
115,Parent,Rural village, , ,Dodoma,When you can,Through mobile phone using the same network,Hospital/medical expenses
9494,Parent,Urban community, , ,Songwe,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8124,Parent,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9550,Parent,Rural village, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5270,Parent,Urban community, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4402,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
2622,Parent,Rural village, , ,Mbeya,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
7212,Parent,Rural village, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7072,Parent,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
3186,Parent,Rural village, , ,Tabora,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
2082,Parent,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2084,Parent,Urban community, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
9085,Parent,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7269,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6787,Parent,Rural village, , ,Dodoma,When you can,Through mobile phone using the same network,Hospital/medical expenses
9480,Parent,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1451,Parent,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8357,Parent,Rural village, , ,Kigoma,When you can,Through mobile phone using the same network,Hospital/medical expenses
1149,Parent,Urban community, , ,Ruvuma,When you can,Through mobile phone using the same network,Hospital/medical expenses
8654,Parent,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4542,Child,Rural village, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
5607,Child,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5068,Child,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Hospital/medical expenses
9166,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2984,Child,Urban community, , ,Shinyanga,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
1218,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2992,Child,Urban community, , ,Kagera,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
6173,Child,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4599,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2421,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7966,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
8832,Child,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
2609,Child,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7189,Child,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5276,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
9125,Child,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8389,Child,Urban community, , ,Mbeya,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
2636,Child,Rural village, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4654,Child,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Hospital/medical expenses
8100,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
1784,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
2474,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
2041,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3175,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
4694,Child,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
4202,Child,Urban community, , ,Arusha,Monthly,Through mobile phone using the same network,Hospital/medical expenses
9524,Child,Urban community, , ,Mbeya,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
2304,Child,Urban community, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1088,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
346,Child,Urban community, , ,Singida,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
8008,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
2700,Child,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7931,Child,Rural village, , ,Lindi,When you can,Through mobile phone using the same network,Hospital/medical expenses
2528,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
4250,Child,Urban community, , ,Geita,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1660,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1469,Child,Rural village, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6820,Spouse,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1892,Spouse,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7475,Spouse,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1517,Spouse,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5686,Spouse,Urban community, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9469,Spouse,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8014,Spouse,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
8358,Spouse,Rural village, , ,Tabora,When you can,Through mobile phone using the same network,Hospital/medical expenses
5809,Spouse,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8863,Other family member,Outside of Tanzania,Other specify,TURKEY, ,When they ask you to/in an emergency,Through Western Union/Money gram /NALA,Hospital/medical expenses
3613,Other family member,Outside of Tanzania,Other specify,CANADA, ,Seasonally,Through Western Union/Money gram /NALA,Hospital/medical expenses
3113,Friend,Urban community, , ,Dodoma,Seasonally,Through mobile phone using the same network,Purchasing a house
8502,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Purchase of land
7427,Other family member,Urban community, , ,Arusha,Several times a year,Through mobile phone:different network,Purchase of land
2155,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone:different network,Purchase of land
8431,Other family member,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone:different network,Purchase of land
207,Child,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone:different network,Purchase of land
1518,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Purchase of land
3044,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Purchase of land
2618,Other family member,Urban community, , ,Songwe,Monthly,Through mobile phone using the same network,Purchase of land
4146,Other family member,Urban community, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Purchase of land
2486,Other family member,Rural village, , ,Iringa,Only once off/Once a year,Through mobile phone using the same network,Purchase of land
5520,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Purchase of land
5801,Other family member,Rural village, , ,Geita,When you can,Through mobile phone using the same network,Purchase of land
4112,Child,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Purchase of land
9770,Friend,Outside of Tanzania,USA, , ,Several times a year,Through the Post Office,Purchase of land
2558,Other family member,Urban community, , ,Dar es Salaam,When you can,Through Agent,Building/renovation/expansion
811,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Friends or family takes it there,Building/renovation/expansion
811,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Friends or family takes it there,Building/renovation/expansion
6888,Friend,Urban community, , ,Arusha,When they ask you to/in an emergency,Bus/taxi driver takes it there,Building/renovation/expansion
1408,Friend,Rural village, , ,Morogoro,When they ask you to/in an emergency,Bus/taxi driver takes it there,Building/renovation/expansion
6522,Other family member,Outside of Tanzania,England, , ,Seasonally,Through mobile phone:different network,Building/renovation/expansion
3585,"Other, specify",Outside of Tanzania,USA, , ,Only once off/Once a year,Through mobile phone:different network,Building/renovation/expansion
7340,Other family member,Outside of Tanzania,Kenya, , ,Monthly,Through mobile phone:different network,Building/renovation/expansion
7312,"Other, specify",Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone:different network,Building/renovation/expansion
3058,Someone who borrowed money from you,Urban community, , ,Tabora,Several times a year,Through mobile phone:different network,Building/renovation/expansion
529,Someone who borrowed money from you,Rural village, , ,Arusha,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
5177,Someone who borrowed money from you,Urban community, , ,Iringa,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
8624,Someone who borrowed money from you,Urban community, , ,Shinyanga,Fortnightly,Through mobile phone:different network,Building/renovation/expansion
6199,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
2081,Friend,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
5047,Friend,Urban community, , ,Manyara,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
8725,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone:different network,Building/renovation/expansion
612,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Building/renovation/expansion
6389,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Building/renovation/expansion
5129,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone:different network,Building/renovation/expansion
7358,Other family member,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone:different network,Building/renovation/expansion
7063,Parent,Urban community, , ,Kaskazini Unguja,When you can,Through mobile phone:different network,Building/renovation/expansion
7223,Child,Urban community, , ,Mbeya,Monthly,Through mobile phone:different network,Building/renovation/expansion
5549,Child,Urban community, , ,Shinyanga,Monthly,Through mobile phone:different network,Building/renovation/expansion
3149,Other family member,Outside of Tanzania,Other specify,NOT SPECIFIED, ,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
828,"Other, specify",Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
9279,"Other, specify",Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
6129,"Other, specify",Urban community, , ,Mjini Magharibi,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
1789,Someone who borrowed money from you,Urban community, , ,Lindi,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
745,Someone who borrowed money from you,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
8377,Friend,Urban community, , ,Rukwa,When you can,Through mobile phone using the same network,Building/renovation/expansion
6554,Friend,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
7623,Friend,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Building/renovation/expansion
8468,Friend,Rural village, , ,Kigoma,When you can,Through mobile phone using the same network,Building/renovation/expansion
8591,Friend,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Building/renovation/expansion
1012,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
8330,Friend,Urban community, , ,Dodoma,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
6592,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
2649,Friend,Urban community, , ,Mbeya,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
5935,Friend,Urban community, , ,Ruvuma,When you can,Through mobile phone using the same network,Building/renovation/expansion
8193,Friend,Urban community, , ,Manyara,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
3451,Friend,Rural village, , ,Rukwa,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
3814,Other family member,Urban community, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
6650,Other family member,Rural village, , ,Morogoro,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
4022,Other family member,Urban community, , ,Dodoma,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
7142,Other family member,Urban community, , ,Morogoro,Seasonally,Through mobile phone using the same network,Building/renovation/expansion
9113,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
8161,Other family member,Rural village, , ,Mbeya,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
6413,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
9879,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
9456,Other family member,Urban community, , ,Geita,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
6598,Other family member,Urban community, , ,Mjini Magharibi,Monthly,Through mobile phone using the same network,Building/renovation/expansion
9844,Other family member,Urban community, , ,Mjini Magharibi,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
1079,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Building/renovation/expansion
6762,Other family member,Urban community, , ,Dodoma,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
8624,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
3747,Other family member,Urban community, , ,Kagera,When you can,Through mobile phone using the same network,Building/renovation/expansion
565,Other family member,Rural village, , ,Arusha,When you can,Through mobile phone using the same network,Building/renovation/expansion
7558,Parent,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
9048,Child,Rural village, , ,Tabora,Several times a year,Through mobile phone using the same network,Building/renovation/expansion
2522,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Building/renovation/expansion
6134,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Building/renovation/expansion
9584,Friend,Outside of Tanzania,Other specify,DUBAI, ,Monthly,Through Western Union/Money gram /NALA,Building/renovation/expansion
7875,Child,Outside of Tanzania,Other specify,POLAND, ,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Building/renovation/expansion
2831,"Other, specify",Urban community, , ,Singida,Monthly,Bank transfer/Pay into bank account,Building/renovation/expansion
7356,"Other, specify",Urban community, , ,Pwani,Only once off/Once a year,Bank transfer/Pay into bank account,Building/renovation/expansion
4439,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Bank transfer/Pay into bank account,Building/renovation/expansion
7182,Parent,Rural village, , ,Kigoma,Only once off/Once a year,Bank transfer/Pay into bank account,Building/renovation/expansion
