SN,Exp_id,E14_3,E14_2
1213,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
1213,You had large unforeseen medical expenses,Yes,Borrowed money
3288,You had large unforeseen medical expenses,Yes,Borrowed money
8752,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
8752,You had large unforeseen death/funeral expenses,Yes,Nothing
6521,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2759,Harvest/crop failure/loss of livestock only for those who farm?,No,Sold agriproducts/livestock/harvest
8754,You had large unforeseen medical expenses,Yes,Borrowed money
8754,"You had large unforeseen expenses, specify",Yes,Borrowed money
8754,You received no money/less money than you expected,Yes,Borrowed money
6936,You had large unforeseen medical expenses,Yes,Cut down on expenses
409,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
7318,You had large unforeseen death/funeral expenses,Yes,Used savings;
7318,You had large unforeseen medical expenses,Yes,Used savings;
7318,You received no money/less money than you expected,Yes,Used savings;
862,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Help from friends/relatives/community/Government
7011,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
863,You had large unforeseen medical expenses,Yes,Borrowed money
863,You received no money/less money than you expected,Yes,Cut down on expenses
863,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
863,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
5219,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
5219,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1499,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
1499,You had large unforeseen death/funeral expenses,Yes,Used savings;
1499,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
6006,You had large unforeseen medical expenses,Yes,Borrowed money
6006,You received no money/less money than you expected,Yes,Borrowed money
9377,You had large unforeseen medical expenses,Yes,Help from friends/relatives/community/Government
9108,You received no money/less money than you expected,Yes,Worked more/did casual jobs
9108,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
3289,You received no money/less money than you expected,Yes,Borrowed money
3289,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
3289,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
3289,You had large unforeseen medical expenses,Yes,Borrowed money
9627,You received no money/less money than you expected,Yes,Used savings;
5628,You received no money/less money than you expected,Yes,Used savings;
7128,You received no money/less money than you expected,Yes,Cut down on expenses
609,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
9495,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
9013,You received no money/less money than you expected,Yes,Cut down on expenses
137,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
8756,You had large unforeseen medical expenses,Yes,Borrowed money
8756,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
6651,You had large unforeseen medical expenses,Yes,Borrowed money
9170,You received no money/less money than you expected,Yes,Borrowed money
9170,You had large unforeseen medical expenses,Yes,Help from friends/relatives/community/Government
3290,You had large unforeseen medical expenses,Yes,Used savings;
1901,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9628,"You had large unforeseen expenses, specify",Yes,Borrowed money
8429,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
8757,You had large unforeseen medical expenses,Yes,Used savings;
2561,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
7012,You received no money/less money than you expected,No,Nothing
5391,You received no money/less money than you expected,Yes,Cut down on expenses
1693,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
7478,You received no money/less money than you expected,Yes,Used savings;
7478,You had large unforeseen death/funeral expenses,Yes,Used savings;
5083,You had large unforeseen death/funeral expenses,Yes,Borrowed money
5836,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9015,You received no money/less money than you expected,Yes,Worked more/did casual jobs
7320,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
413,You had large unforeseen death/funeral expenses,Yes,Used savings;
413,You had large unforeseen medical expenses,Yes,Used savings;
2562,You had large unforeseen medical expenses,Yes,Used savings;
864,You had large unforeseen medical expenses,Yes,Borrowed money
864,You had large unforeseen death/funeral expenses,Yes,Sold asset/something not obtained for this purpose
5392,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
5392,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
5392,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5392,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
5392,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2986,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
9173,You had large unforeseen medical expenses,Yes,Used savings;
7894,You had large unforeseen medical expenses,Yes,Used savings;
7894,You had large unforeseen death/funeral expenses,Yes,Used savings;
7480,You had large unforeseen medical expenses,Yes,Used savings;
7480,You had large unforeseen death/funeral expenses,Yes,Borrowed money
7481,You received no money/less money than you expected,Yes,Worked more/did casual jobs
4019,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
4019,You had large unforeseen medical expenses,Yes,Cut down on expenses
4019,You had large unforeseen death/funeral expenses,Yes,Cut down on expenses
7129,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
7129,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4796,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4796,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
4796,You had large unforeseen death/funeral expenses,Yes,Used savings;
4796,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
9378,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
9378,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
141,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
8531,You had large unforeseen medical expenses,Yes,Used savings;
9379,You had large unforeseen medical expenses,Yes,Borrowed money
9379,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
8532,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
865,You had large unforeseen medical expenses,Yes,Cut down on expenses
865,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
865,You had large unforeseen death/funeral expenses,Yes,Sold asset/something not obtained for this purpose
4797,You received no money/less money than you expected,Yes,Used savings;
1695,You had large unforeseen medical expenses,Yes,Used savings;
9629,You had large unforeseen death/funeral expenses,Yes,Borrowed money
9629,You had large unforeseen medical expenses,Yes,Borrowed money
9629,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
9629,You received no money/less money than you expected,Yes,Borrowed money
8657,"You had large unforeseen expenses, specify",Yes,Borrowed money
8657,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
8657,You received no money/less money than you expected,Yes,Borrowed money
9630,You had large unforeseen death/funeral expenses,No,Nothing
9630,You received no money/less money than you expected,No,Nothing
2761,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
866,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5084,You had large unforeseen death/funeral expenses,No,Nothing
4798,You had large unforeseen medical expenses,Yes,Nothing
5394,You had large unforeseen medical expenses,Yes,Borrowed money
2563,You received no money/less money than you expected,Yes,Nothing
9017,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
8430,You had large unforeseen medical expenses,Yes,Borrowed money
5629,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
9380,You received no money/less money than you expected,Yes,Used savings;
1217,You received no money/less money than you expected,No,Nothing
5630,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5630,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
5630,You received no money/less money than you expected,Yes,Cut down on expenses
1501,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
2160,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
2160,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2160,You received no money/less money than you expected,Yes,Cut down on expenses
2160,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold asset/something not obtained for this purpose
4304,You had large unforeseen medical expenses,Yes,Cut down on expenses
4020,You received no money/less money than you expected,Yes,Nothing
613,You had large unforeseen medical expenses,Yes,Cut down on expenses
6654,"You had large unforeseen expenses, specify",Yes,Borrowed money
8042,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5395,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5395,You had large unforeseen medical expenses,Yes,Borrowed money
5395,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
5395,You had large unforeseen death/funeral expenses,Yes,Used savings;
143,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
143,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
2987,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
2987,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3499,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5837,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
5837,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
9018,You had large unforeseen medical expenses,Yes,Used savings;
1502,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1502,You received no money/less money than you expected,Yes,Worked more/did casual jobs
6298,"You had large unforeseen expenses, specify",Yes,Borrowed money
6298,You had large unforeseen medical expenses,Yes,Borrowed money
7484,You received no money/less money than you expected,Yes,Cut down on expenses
7131,You received no money/less money than you expected,No,Used savings;
9019,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
8367,You had large unforeseen medical expenses,Yes,Cut down on expenses
3291,You had large unforeseen medical expenses,Yes,Borrowed money
4021,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
2161,You had large unforeseen death/funeral expenses,Yes,Used savings;
3815,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
3815,You received no money/less money than you expected,Yes,Used savings;
4800,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
4800,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
4800,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
4800,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2988,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2988,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
5631,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
5631,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4801,You received no money/less money than you expected,Yes,Worked more/did casual jobs
4801,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
9631,"You had large unforeseen expenses, specify",No,Cut down on expenses
9632,You received no money/less money than you expected,Yes,Borrowed money
1218,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5839,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9496,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
9496,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
9381,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold an asset/something obtained for this purpose
9381,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold an asset/something obtained for this purpose
9381,You received no money/less money than you expected,Yes,Sold an asset/something obtained for this purpose
4802,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
9230,You had large unforeseen medical expenses,Yes,Cut down on expenses
9230,"You had large unforeseen expenses, specify",Yes,Cut down on expenses
2162,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
2162,You received no money/less money than you expected,Yes,Nothing
2162,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
4306,You had large unforeseen medical expenses,Yes,Used savings;
9020,You had large unforeseen medical expenses,No,Claimed insurance/policy pay-out
2764,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
2764,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5840,You received no money/less money than you expected,No,Sold agriproducts/livestock/harvest
5840,Harvest/crop failure/loss of livestock only for those who farm?,No,Sold agriproducts/livestock/harvest
7018,You received no money/less money than you expected,Yes,Worked more/did casual jobs
7018,You had large unforeseen medical expenses,Yes,Borrowed money
7018,You had large unforeseen death/funeral expenses,No,Nothing
7132,You received no money/less money than you expected,Yes,Worked more/did casual jobs
7132,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
7488,You received no money/less money than you expected,Yes,Cut down on expenses
5396,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5396,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
5396,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
5396,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5396,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
3816,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
7489,You had large unforeseen death/funeral expenses,Yes,Nothing
4307,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
4307,You received no money/less money than you expected,Yes,Worked more/did casual jobs
4307,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
869,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
4023,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
4023,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4023,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,No,Sold agriproducts/livestock/harvest
4023,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
4023,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
5841,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
4024,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1904,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
38,"You had large unforeseen expenses, specify",Yes,Borrowed money
38,You had large unforeseen medical expenses,Yes,Borrowed money
3293,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
3293,You had large unforeseen death/funeral expenses,Yes,Borrowed money
3293,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
8759,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
4805,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
4805,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
4805,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
2989,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
7949,You had large unforeseen medical expenses,Yes,Used savings;
870,You received no money/less money than you expected,Yes,Cut down on expenses
2378,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
2378,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
2990,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
2990,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
614,You received no money/less money than you expected,Yes,Nothing
9581,You received no money/less money than you expected,Yes,Worked more/did casual jobs
1504,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
1504,You received no money/less money than you expected,Yes,Nothing
1504,You had large unforeseen medical expenses,Yes,Nothing
1504,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
2379,You had large unforeseen medical expenses,Yes,Borrowed money
2991,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
2991,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,No,Nothing
871,You had large unforeseen death/funeral expenses,Yes,Nothing
871,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5221,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5221,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
615,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
1696,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5842,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5842,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
2565,You had large unforeseen death/funeral expenses,Yes,Cut down on expenses
4025,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
4025,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
2566,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5632,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5632,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
5632,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
145,You had large unforeseen medical expenses,Yes,Borrowed money
145,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold an asset/something obtained for this purpose
145,You had large unforeseen death/funeral expenses,No,Used savings;
1505,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
1505,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold agriproducts/livestock/harvest
8761,You received no money/less money than you expected,Yes,Worked more/did casual jobs
8761,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
9382,You received no money/less money than you expected,Yes,Cut down on expenses
8433,You had large unforeseen death/funeral expenses,Yes,Cut down on expenses
5222,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
7019,You received no money/less money than you expected,Yes,Cut down on expenses
7019,You had large unforeseen death/funeral expenses,No,Nothing
7019,You had large unforeseen medical expenses,Yes,Used savings;
7495,You had large unforeseen death/funeral expenses,Yes,Nothing
7495,You had large unforeseen medical expenses,Yes,Nothing
6655,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
6655,You received no money/less money than you expected,Yes,Cut down on expenses
6655,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
5843,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
5843,You had large unforeseen medical expenses,Yes,Cut down on expenses
5843,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5843,You received no money/less money than you expected,Yes,Nothing
617,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
9383,You received no money/less money than you expected,Yes,Sold an asset/something obtained for this purpose
6007,You received no money/less money than you expected,Yes,Used savings;
6007,You had large unforeseen medical expenses,Yes,Used savings;
2164,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
2164,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
2164,You received no money/less money than you expected,Yes,Borrowed money
2164,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
8763,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
8763,You received no money/less money than you expected,Yes,Cut down on expenses
8763,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3504,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
872,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
3505,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold asset/something not obtained for this purpose
4808,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2165,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
7134,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
7134,You had large unforeseen medical expenses,Yes,Sold asset/something not obtained for this purpose
8368,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
7496,"You had large unforeseen expenses, specify",Yes,Nothing
8766,You had large unforeseen medical expenses,Yes,Used savings;
8536,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
3295,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
3295,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
3295,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5636,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
4559,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
9636,You had large unforeseen death/funeral expenses,Yes,Used savings;
9636,You had large unforeseen medical expenses,Yes,Used savings;
6828,You had large unforeseen medical expenses,Yes,Used savings;
6828,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold asset/something not obtained for this purpose
6828,You received no money/less money than you expected,Yes,Cut down on expenses
8767,You had large unforeseen medical expenses,Yes,Sold asset/something not obtained for this purpose
8767,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
3296,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
3296,You received no money/less money than you expected,Yes,Worked more/did casual jobs
3296,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
3296,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
8087,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
8087,You received no money/less money than you expected,Yes,Nothing
3297,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
3297,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
8768,"You had large unforeseen expenses, specify",Yes,Worked more/did casual jobs
873,You received no money/less money than you expected,Yes,Worked more/did casual jobs
4309,You received no money/less money than you expected,Yes,Cut down on expenses
4309,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
7321,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
8537,You had large unforeseen medical expenses,Yes,Used savings;
8537,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
8537,You had large unforeseen death/funeral expenses,Yes,Cut down on expenses
9384,You received no money/less money than you expected,No,Nothing
3506,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
4310,You received no money/less money than you expected,Yes,Used savings;
39,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
40,You had large unforeseen medical expenses,Yes,Used savings;
40,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
6829,You had large unforeseen medical expenses,Yes,Used savings;
6829,You received no money/less money than you expected,Yes,Used savings;
8297,You had large unforeseen medical expenses,Yes,Nothing
8297,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9637,You received no money/less money than you expected,Yes,Borrowed money
7498,You received no money/less money than you expected,Yes,Borrowed money
2766,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
875,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
875,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
875,You received no money/less money than you expected,Yes,Worked more/did casual jobs
146,You had large unforeseen death/funeral expenses,Yes,Nothing
3508,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
7951,You had large unforeseen medical expenses,Yes,Used savings;
4,You had large unforeseen medical expenses,Yes,Help from friends/relatives/community/Government
4,You received no money/less money than you expected,Yes,Help from friends/relatives/community/Government
2167,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
619,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
619,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
6657,You received no money/less money than you expected,Yes,Nothing
2568,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
2568,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
2568,"You had large unforeseen expenses, specify",Yes,Sold agriproducts/livestock/harvest
2568,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
2568,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
2568,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold agriproducts/livestock/harvest
2993,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
2993,You had large unforeseen medical expenses,Yes,Nothing
1506,You received no money/less money than you expected,Yes,Cut down on expenses
1506,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
1506,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
1506,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
876,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5224,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
5224,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
1698,You had large unforeseen medical expenses,No,Help from friends/relatives/community/Government
1698,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Help from friends/relatives/community/Government
1698,You received no money/less money than you expected,No,Nothing
5639,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
1507,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4311,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5087,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
5087,You received no money/less money than you expected,Yes,Borrowed money
4564,You received no money/less money than you expected,Yes,Borrowed money
4564,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
9021,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
9021,You received no money/less money than you expected,Yes,Sold an asset/something obtained for this purpose
9021,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold an asset/something obtained for this purpose
148,You received no money/less money than you expected,Yes,Cut down on expenses
148,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
148,You had large unforeseen death/funeral expenses,No,Used savings;
3511,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
2994,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
2994,You received no money/less money than you expected,No,Cut down on expenses
6658,You received no money/less money than you expected,Yes,Cut down on expenses
6658,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
6658,You had large unforeseen medical expenses,Yes,Borrowed money
5844,You received no money/less money than you expected,Yes,Cut down on expenses
5844,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
8771,You had large unforeseen medical expenses,Yes,Cut down on expenses
8771,You received no money/less money than you expected,Yes,Cut down on expenses
4809,You had large unforeseen death/funeral expenses,Yes,Used savings;
4312,You had large unforeseen medical expenses,No,Borrowed money
6831,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
6831,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
