SN,Pers_id,pay2_2,pay2_3a,pay2_3aOther,pay2_3b__0,pay2_4,pay2_5,pay2_6
2092,Spouse,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
7871,Parent,Rural village, , ,Mtwara,Seasonally,Through mobile phone: different network,Hospital/medical expenses
7472,Parent,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
1970,Parent,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1982,Other family member,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7353,Parent,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
2045,Parent,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2049,Other family member,Urban community, , ,Mtwara,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
8937,Other family member,Urban community, , ,Mtwara,When you can,Through mobile phone using the same network,Hospital/medical expenses
2311,Spouse,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8010,Other family member,Rural village, , ,Mtwara,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
1880,Other family member,Rural village, , ,Lindi,Only once off/Once a year,Through Agent,Hospital/medical expenses
7901,Other family member,Rural village, , ,Lindi,Only once off/Once a year,Through Agent,Hospital/medical expenses
7971,Other family member,Rural village, , ,Lindi,Only once off/Once a year,Through Agent,Hospital/medical expenses
7891,Other family member,Rural village, , ,Lindi,When they ask you to/in an emergency,Through Agent,Hospital/medical expenses
1865,Parent,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1754,Parent,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2076,Child,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
832,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through Agent,Hospital/medical expenses
1888,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through Agent,Hospital/medical expenses
8059,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through Agent,Hospital/medical expenses
2068,Other family member,Urban community, , ,Dar es Salaam,When you can,Through Agent,Hospital/medical expenses
8341,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through Agent,Hospital/medical expenses
2969,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Hospital/medical expenses
7468,Parent,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone: different network,Hospital/medical expenses
7473,Parent,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone: different network,Hospital/medical expenses
1519,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
2189,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
3314,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
3851,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
5676,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Hospital/medical expenses
1541,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
7341,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
8383,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Hospital/medical expenses
9511,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
2482,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Hospital/medical expenses
5756,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Hospital/medical expenses
6241,"Other, specify",Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Hospital/medical expenses
1077,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
1636,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
2107,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
8084,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
105,Parent,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
1677,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1193,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
9375,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
7019,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1506,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
7538,Spouse,Urban community, , ,Dar es Salaam,Weekly,Through mobile phone using the same network,Hospital/medical expenses
1255,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1724,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
8056,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4166,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2276,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1602,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6330,Other family member,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone using the same network,Hospital/medical expenses
2486,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6753,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1614,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1073,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
8940,Friend,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Hospital/medical expenses
8503,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2514,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
8111,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
3227,Child,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
9096,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1663,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1266,Parent,Urban community, , ,Dar es Salaam,Several times a year,Bank transfer/Pay into bank account,Hospital/medical expenses
2421,Other family member,Urban community, , ,Dar es Salaam,When you can,Bank transfer/Pay into bank account,Hospital/medical expenses
7387,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Hospital/medical expenses
1503,Parent,Rural village, , ,Pwani,When they ask you to/in an emergency,Through Agent,Hospital/medical expenses
1126,Other family member,Urban community, , ,Pwani,Only once off/Once a year,Through Agent,Hospital/medical expenses
9323,Spouse,Urban community, , ,Pwani,Several times a year,Through mobile phone: different network,Hospital/medical expenses
7367,Other family member,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
9785,Other family member,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
802,Parent,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
1477,Spouse,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1846,Child,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2010,Other family member,Rural village, , ,Morogoro,Several times a year,Through Agent,Hospital/medical expenses
1126,Child,Urban community, , ,Morogoro,Only once off/Once a year,Through Agent,Hospital/medical expenses
1349,Parent,Rural village, , ,Morogoro,When they ask you to/in an emergency,Friends or family takes it there,Hospital/medical expenses
1534,Parent,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
985,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone: different network,Hospital/medical expenses
7781,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
3434,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
1454,Parent,Urban community, , ,Morogoro,When you can,Through mobile phone: different network,Hospital/medical expenses
1467,Spouse,Rural village, , ,Morogoro,Several times a year,Through mobile phone: different network,Hospital/medical expenses
1185,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1194,Child,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
4783,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1218,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
6299,Spouse,Rural village, , ,Morogoro,Weekly,Through mobile phone using the same network,Hospital/medical expenses
8131,Other family member,Urban community, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4835,Other family member,Urban community, , ,Morogoro,When you can,Through mobile phone using the same network,Hospital/medical expenses
8556,Friend,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1534,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7671,Other family member,Rural village, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
4932,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7234,Other family member,Rural village, , ,Morogoro,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
1403,Other family member,Rural village, , ,Morogoro,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
1415,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
2125,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
838,Parent,Rural village, , ,Tanga,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
7028,Parent,Urban community, , ,Tanga,Several times a year,Through mobile phone: different network,Hospital/medical expenses
864,Child,Rural village, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7017,Other family member,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
2376,Parent,Urban community, , ,Tanga,Several times a year,Through mobile phone using the same network,Hospital/medical expenses
935,Parent,Rural village, , ,Tanga,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
995,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
1006,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
7062,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1044,Spouse,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Hospital/medical expenses
1394,Other family member,Rural village, , ,Tanga,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
1071,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1079,Parent,Rural village, , ,Tanga,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
9415,Parent,Rural village, , ,Kilimanjaro,When you can,Through mobile phone: different network,Hospital/medical expenses
1288,Other family member,Urban community, , ,Kilimanjaro,Several times a year,Through mobile phone: different network,Hospital/medical expenses
9154,Child,Urban community, , ,Kilimanjaro,Seasonally,Through mobile phone: different network,Hospital/medical expenses
6935,Parent,Rural village, , ,Kilimanjaro,When you can,Through mobile phone using the same network,Hospital/medical expenses
8788,Parent,Rural village, , ,Kilimanjaro,When you can,Through mobile phone using the same network,Hospital/medical expenses
985,Friend,Rural village, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1008,Other family member,Rural village, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
8946,Other family member,Rural village, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
1646,Parent,Rural village, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
5047,Other family member,Urban community, , ,Kilimanjaro,When you can,Through mobile phone using the same network,Hospital/medical expenses
1094,Parent,Urban community, , ,Arusha,When they ask you to/in an emergency,Friends or family takes it there,Hospital/medical expenses
9381,Child,Urban community, , ,Arusha,Only once off/Once a year,Through mobile phone: different network,Hospital/medical expenses
9074,Other family member,Urban community, , ,Arusha,Only once off/Once a year,Through mobile phone: different network,Hospital/medical expenses
1162,Other family member,Rural village, , ,Arusha,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
437,Other family member,Urban community, , ,Arusha,When you can,Through mobile phone using the same network,Hospital/medical expenses
4065,Child,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7204,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
522,Parent,Rural village, , ,Arusha,When you can,Through mobile phone using the same network,Hospital/medical expenses
4769,Other family member,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
6792,Parent,Rural village, , ,Dodoma,Several times a year,Through mobile phone: different network,Hospital/medical expenses
103,Friend,Rural village, , ,Dodoma,Only once off/Once a year,Through mobile phone using the same network,Hospital/medical expenses
8041,Other family member,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
7174,Friend,Rural village, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
221,Other family member,Urban community, , ,Dodoma,Seasonally,Through mobile phone using the same network,Hospital/medical expenses
6693,Parent,Rural village, , ,Dodoma,Monthly,Through mobile phone using the same network,Hospital/medical expenses
993,Parent,Rural village, , ,Dodoma,When you can,Through mobile phone using the same network,Hospital/medical expenses
6726,Parent,Rural village, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Hospital/medical expenses
922,Other family member,Outside of Tanzania,Kenya, , ,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
7581,Child,Outside of Tanzania,Other specify,INDIA, ,Several times a year,Through Western Union/Money gram /NALA,Hospital/medical expenses
3113,Friend,Urban community, , ,Shinyanga,Seasonally,Through mobile phone using the same network,Purchasing a house
1761,Other family member,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Purchasing a house
2054,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Purchasing a house
7677,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Purchase of land
4088,Other family member,Rural village, , ,Kagera,Only once off/Once a year,Through mobile phone: different network,Purchase of land
8468,Friend,Rural village, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone using the same network,Purchase of land
8431,Friend,Urban community, , ,Kigoma,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Purchase of land
5940,Friend,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Purchase of land
1943,Child,Urban community, , ,Dar es Salaam,Several times a year,Through Agent,Purchase of land
6087,Other family member,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone using the same network,Purchase of land
6804,Other family member,Rural village, , ,Dodoma,Several times a year,Through mobile phone: different network,Building/renovation/expansion
9685,Friend,Rural village, , ,Kaskazini Unguja,Seasonally,Through mobile phone using the same network,Building/renovation/expansion
9389,Friend,Rural village, , ,Geita,When you can,Through mobile phone using the same network,Building/renovation/expansion
4724,Spouse,Urban community, , ,Mara,Only once off/Once a year,Through mobile phone: different network,Building/renovation/expansion
4734,Parent,Urban community, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
4398,Parent,Rural village, , ,Mwanza,Monthly,Through mobile phone using the same network,Building/renovation/expansion
8536,Spouse,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
1629,Other family member,Rural village, , ,Kigoma,Only once off/Once a year,Through mobile phone: different network,Building/renovation/expansion
5692,Other family member,Rural village, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
3631,Friend,Rural village, , ,Tabora,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
2761,Friend,Rural village, , ,Singida,Only once off/Once a year,Through mobile phone using the same network,Building/renovation/expansion
6786,Other family member,Rural village, , ,Mbeya,Several times a year,Bank transfer/Pay into bank account,Building/renovation/expansion
2179,Other family member,Urban community, , ,Ruvuma,Weekly,Through mobile phone: different network,Building/renovation/expansion
9665,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Building/renovation/expansion
4928,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Building/renovation/expansion
862,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
1314,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
7090,Friend,Rural village, , ,Tanga,Only once off/Once a year,Through Agent,Building/renovation/expansion
817,Parent,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Building/renovation/expansion
922,Spouse,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Building/renovation/expansion
6842,Someone I borrowed money from,Urban community, , ,Arusha,Monthly,Friends or family takes it there,Building/renovation/expansion
6756,Other family member,Urban community, , ,Dodoma,Weekly,Through mobile phone: different network,Building/renovation/expansion
9481,Friend,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
6347,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
9536,"Other, specify",Rural village, , ,Songwe,Only once off/Once a year,Through Agent,Business expenses
9236,Other family member,Urban community, , ,Katavi,Several times a year,Through mobile phone using the same network,Business expenses
6403,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through Agent,Business expenses
9654,Friend,Urban community, , ,Mjini Magharibi,Several times a year,Through mobile phone: different network,Business expenses
6067,Friend,Urban community, , ,Mjini Magharibi,Several times a year,Through mobile phone: different network,Business expenses
9749,Friend,Urban community, , ,Mjini Magharibi,Seasonally,Through mobile phone: different network,Business expenses
9793,"Other, specify",Urban community, , ,Mjini Magharibi,Weekly,Through mobile phone: different network,Business expenses
9547,"Other, specify",Urban community, , ,Mjini Magharibi,Weekly,Through mobile phone using the same network,Business expenses
6560,Child,Urban community, , ,Mjini Magharibi,Monthly,Through mobile phone using the same network,Business expenses
9757,Someone I borrowed money from,Urban community, , ,Mjini Magharibi,Several times a year,Through mobile phone using the same network,Business expenses
6525,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Business expenses
9557,Friend,Urban community, , ,Mjini Magharibi,Seasonally,Bank transfer/Pay into bank account,Business expenses
9581,Friend,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
6198,Parent,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
6229,Other family member,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
6518,Other family member,Urban community, , ,Kaskazini Unguja,Weekly,Through mobile phone: different network,Business expenses
6007,Other family member,Rural village, , ,Kaskazini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
7629,Someone I borrowed money from,Urban community, , ,Kaskazini Unguja,When you can,Through mobile phone: different network,Business expenses
6121,Other family member,Rural village, , ,Kaskazini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
3384,Friend,Urban community, , ,Songwe,Several times a year,Through mobile phone using the same network,Business expenses
9527,Other family member,Urban community, , ,Songwe,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
9538,Other family member,Rural village, , ,Songwe,Weekly,Through mobile phone using the same network,Business expenses
8624,Spouse,Rural village, , ,Geita,Several times a year,Through mobile phone using the same network,Business expenses
3226,Friend,Urban community, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Business expenses
9732,Child,Urban community, , ,Geita,Only once off/Once a year,Bank transfer/Pay into bank account,Business expenses
9087,Spouse,Urban community, , ,Simiyu,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
9253,Friend,Urban community, , ,Katavi,Only once off/Once a year,Through mobile phone using the same network,Business expenses
5122,Friend,Rural village, , ,Njombe,Only once off/Once a year,Through mobile phone using the same network,Business expenses
9193,Someone I borrowed money from,Urban community, , ,Njombe,When you can,Through mobile phone using the same network,Business expenses
4984,Other family member,Urban community, , ,Manyara,Several times a year,Bus/taxi driver takes it there,Business expenses
8567,Other family member,Rural village, , ,Manyara,Seasonally,Through mobile phone: different network,Business expenses
5054,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
6833,Friend,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
4828,Friend,Urban community, , ,Manyara,Seasonally,Through mobile phone using the same network,Business expenses
9138,Friend,Urban community, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
6862,Friend,Urban community, , ,Mara,When they ask you to/in an emergency,Through Agent,Business expenses
4584,Other family member,Urban community, , ,Mara,Weekly,Through mobile phone using the same network,Business expenses
9050,Child,Urban community, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Business expenses
8935,Other family member,Rural village, , ,Mara,When you can,Through mobile phone using the same network,Business expenses
9266,Friend,Rural village, , ,Mwanza,Seasonally,Through Agent,Business expenses
9663,"Other, specify",Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Business expenses
8828,"Other, specify",Urban community, , ,Mwanza,Weekly,Through mobile phone: different network,Business expenses
9080,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Business expenses
5553,Child,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Business expenses
4282,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Business expenses
8757,Other family member,Urban community, , ,Mwanza,Weekly,Through mobile phone using the same network,Business expenses
8769,Someone I borrowed money from,Urban community, , ,Mwanza,Fortnightly,Through mobile phone using the same network,Business expenses
4096,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Business expenses
9446,Spouse,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Business expenses
1535,Friend,Urban community, , ,Kagera,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
8931,"Other, specify",Rural village, , ,Kagera,Weekly,Through mobile phone: different network,Business expenses
4034,Friend,Urban community, , ,Kagera,Several times a year,Through mobile phone using the same network,Business expenses
3193,Friend,Urban community, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
9487,Someone I borrowed money from,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Business expenses
8798,Other family member,Urban community, , ,Shinyanga,When you can,Through mobile phone using the same network,Business expenses
4364,Other family member,Rural village, , ,Shinyanga,Monthly,Through mobile phone using the same network,Business expenses
8573,Friend,Urban community, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Business expenses
8883,Other family member,Urban community, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Business expenses
8440,Friend,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
9418,Other family member,Rural village, , ,Kigoma,Seasonally,Through mobile phone using the same network,Business expenses
3590,Friend,Urban community, , ,Kigoma,When you can,Through mobile phone using the same network,Business expenses
7713,Friend,Urban community, , ,Kigoma,Several times a year,Through mobile phone using the same network,Business expenses
1555,Child,Rural village, , ,Rukwa,Monthly,Through mobile phone using the same network,Business expenses
3357,Other family member,Urban community, , ,Rukwa,When you can,Through mobile phone using the same network,Business expenses
3023,Friend,Urban community, , ,Tabora,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
3076,Friend,Rural village, , ,Tabora,Only once off/Once a year,Through mobile phone: different network,Business expenses
3074,Other family member,Rural village, , ,Tabora,When you can,Through mobile phone using the same network,Business expenses
3088,Other family member,Rural village, , ,Tabora,Seasonally,Through mobile phone using the same network,Business expenses
3101,Other family member,Urban community, , ,Tabora,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
8273,Other family member,Rural village, , ,Tabora,When you can,Through mobile phone using the same network,Business expenses
6959,Friend,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone: different network,Business expenses
7749,Other family member,Urban community, , ,Singida,Several times a year,Through mobile phone using the same network,Business expenses
8273,Someone I borrowed money from,Urban community, , ,Singida,When you can,Bank transfer/Pay into bank account,Business expenses
2602,Other family member,Rural village, , ,Mbeya,Only once off/Once a year,Through mobile phone: different network,Business expenses
6858,Friend,Rural village, , ,Mbeya,Several times a year,Through mobile phone: different network,Business expenses
6091,"Other, specify",Rural village, , ,Mbeya,When you can,Through mobile phone: different network,Business expenses
1401,Other family member,Urban community, , ,Mbeya,Weekly,Through mobile phone: different network,Business expenses
2566,Friend,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Business expenses
8165,Parent,Rural village, , ,Mbeya,Several times a year,Through mobile phone using the same network,Business expenses
8165,Spouse,Rural village, , ,Mbeya,Several times a year,Through mobile phone using the same network,Business expenses
9507,Other family member,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Business expenses
9508,Child,Urban community, , ,Mbeya,Several times a year,Through mobile phone using the same network,Business expenses
2627,Other family member,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Business expenses
2658,Other family member,Urban community, , ,Mbeya,Seasonally,Through mobile phone using the same network,Business expenses
5981,Someone I borrowed money from,Urban community, , ,Mbeya,Only once off/Once a year,Through mobile phone using the same network,Business expenses
8225,Other family member,Urban community, , ,Mbeya,Fortnightly,Through mobile phone using the same network,Business expenses
8173,"Other, specify",Urban community, , ,Mbeya,Monthly,Bank transfer/Pay into bank account,Business expenses
1528,Someone I borrowed money from,Rural village, , ,Iringa,When you can,Through mobile phone: different network,Business expenses
3460,"Other, specify",Urban community, , ,Iringa,Several times a year,Through mobile phone using the same network,Business expenses
2356,Other family member,Urban community, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Business expenses
2361,Other family member,Urban community, , ,Iringa,When you can,Through mobile phone using the same network,Business expenses
